"prior_neg","prior_singlet","prior_doublet","n_noise","f1_micro","f1_macro","f1_weighted","mcc","concordance"
0.3,0.5,0.2,5,0.762278978388998,0.73080455616432,0.7807222595953,0.723962043208126,0.750967741935484
0.3,0.5,0.2,6,0.761311839911062,0.727354164847725,0.777140220755768,0.709667871295055,0.736344086021505
0.3,0.5,0.2,7,0.759014148790507,0.718576329274828,0.767150598421133,0.690793577998749,0.715268817204301
0.3,0.6,0.1,4,0.804148212163768,0.755180893024607,0.805588527859178,0.776422375405853,0.800430107526882
0.3,0.6,0.1,5,0.80724197745013,0.751398164802379,0.804112654105631,0.776701545543425,0.800645161290323
0.3,0.6,0.1,6,0.802889350990478,0.751718750544906,0.802537657650678,0.764209314192061,0.788817204301075
0.3,0.6,0.1,7,0.804112314835286,0.747510401074142,0.800158477917675,0.758110330207197,0.782150537634409
0.4,0.5,0.1,4,0.786499727817093,0.743432278539028,0.795554768417906,0.750748298340739,0.776774193548387
0.4,0.5,0.1,5,0.796385138904385,0.74185022398456,0.794683584464848,0.742968187514043,0.76752688172043
0.4,0.5,0.1,6,0.76438679245283,0.71053074601628,0.761435011240395,0.67891646501167,0.696989247311828
0.4,0.5,0.1,7,0.732954545454545,0.676141509144671,0.722961035447732,0.630148370956681,0.638064516129032
