"prior_neg","prior_singlet","prior_doublet","n_noise","f1_micro","f1_macro","f1_weighted","mcc","concordance"
0.05,0.7,0.25,5,0.914790477216417,0.895723825688844,0.935416676066934,0.905835632453508,0.913118279569892
0.05,0.7,0.25,6,0.93320405085111,0.912004097771162,0.947474982302289,0.924833132315935,0.931397849462366
0.05,0.7,0.25,7,0.955584303579129,0.934890951020007,0.962600241654958,0.947858043619546,0.953118279569892
0.05,0.8,0.15,4,0.897598794013137,0.881878269955166,0.924572416838686,0.888858391099591,0.896344086021505
0.05,0.8,0.15,5,0.921469352579985,0.901441872888603,0.939770158160422,0.912721259143657,0.919784946236559
0.05,0.8,0.15,6,0.939668174962293,0.918133085668424,0.951789830075848,0.931611978726411,0.937849462365591
0.05,0.8,0.15,7,0.960974557999137,0.941175890572796,0.966502301486648,0.953673814799257,0.958494623655914
0.05,0.85,0.1,4,0.907935824270486,0.890301769160274,0.931210330636796,0.899338544742795,0.906666666666667
0.05,0.85,0.1,5,0.924485618873209,0.903915629228294,0.941703937285624,0.915810498820722,0.922795698924731
0.05,0.85,0.1,6,0.943546649429002,0.922054926673396,0.954369409176436,0.935710363103098,0.941720430107527
0.05,0.85,0.1,7,0.965071151358344,0.946444620600626,0.969526027078265,0.958126581670622,0.96258064516129
0.05,0.9,0.05,4,0.917411435339722,0.898136350864524,0.93733355293628,0.909043615750739,0.916129032258065
0.05,0.9,0.05,5,0.936348949919224,0.914808935784391,0.949654670519775,0.928460638686334,0.934838709677419
0.05,0.9,0.05,6,0.948717948717949,0.927370634496522,0.957884921132805,0.941207774512604,0.946881720430108
0.05,0.9,0.05,7,0.967122992346664,0.94910532084192,0.971127004995999,0.960487956281309,0.964731182795699
0.1,0.5,0.4,4,0.864620355411955,0.857554450366376,0.903540013024756,0.855980648127951,0.863225806451613
0.1,0.5,0.4,5,0.893341952165482,0.878659358782817,0.921643024711804,0.884003592724719,0.891612903225806
0.1,0.5,0.4,6,0.919361793876671,0.899549531719771,0.938253791543871,0.909766997005124,0.916989247311828
